There are 5743 rows 
there are 5678 cleaned rules
log_inst_size,time,fast_cex_time,impl_time,check_valid_time,eq_time,make_vc_time,check_sliceable_time,eq_num_z3_calls,model_search_time,model_holes_time,model_cond_time,search_wp_time,model_z3_time,model_z3_calls,num_backtracks
0,95.785618,8.737803,77.301741,77.149630,72.334051,0.010967,0.016928,1,9.705782,0.008821,0.000000,0.037193,9.032249,1,0
1,112.816572,6.894350,96.491575,96.339464,91.184855,0.010967,0.019312,1,9.388924,0.012398,0.000000,0.040770,8.542538,1,0
2,107.763767,6.770372,91.706991,91.551304,86.930513,0.010729,0.022888,1,9.239197,0.012875,0.000000,0.044346,8.465767,1,0
3,108.829021,6.820440,93.234301,93.084097,88.770866,0.010490,0.024080,1,8.726597,0.014305,0.000000,0.047922,8.044720,1,0
4,99.187374,6.814718,82.672834,82.524300,78.022003,0.010729,0.028372,1,9.646654,0.015497,0.000000,0.052452,8.478880,1,0
5,98.055601,7.015705,81.756115,81.599712,76.554060,0.010729,0.030279,1,9.227991,0.018120,0.000000,0.055790,8.491039,1,0
6,100.408792,7.045269,84.452629,84.295034,79.165220,0.010729,0.047207,1,8.836031,0.019073,0.000000,0.110388,8.030415,1,0
7,99.715948,7.228851,83.709717,83.490610,79.085827,0.009775,0.034809,1,8.716583,0.020027,0.000000,0.061035,7.987738,1,0
8,96.688747,7.116556,80.779791,80.621481,75.696945,0.010252,0.036478,1,8.729935,0.022650,0.000000,0.064135,7.996321,1,0
9,104.570150,7.107496,88.569164,88.417053,83.773136,0.010014,0.040770,1,8.825779,0.023603,0.000000,0.072241,8.063316,1,0
10,414.664745,8.110523,188.153982,187.618017,171.600342,0.046253,0.044584,3,691.446304,0.210047,0.000000,1.138926,190.607548,19,1
11,6.901503,6.899595,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
12,6.773472,6.772757,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
13,6.548166,6.546974,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
14,6.337166,6.336451,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
15,6.486654,6.485939,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
16,6.715298,6.714821,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
17,6.489515,6.489277,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
18,6.833792,6.833076,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
19,6.658316,6.657362,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
20,6.699085,6.698370,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
21,6.701469,6.700516,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
22,6.892681,6.892204,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
