There are 5743 rows 
there are 5678 cleaned rules
log_inst_size,time,fast_cex_time,impl_time,check_valid_time,eq_time,make_vc_time,check_sliceable_time,eq_num_z3_calls,model_search_time,model_holes_time,model_cond_time,search_wp_time,model_z3_time,model_z3_calls,num_backtracks
0,80.060244,7.784128,63.575029,63.432932,59.171200,0.009060,0.015259,1,8.664608,0.007629,0.000000,0.029087,8.043528,1,0
1,100.020170,6.343365,85.350990,85.207224,79.989195,0.009537,0.018597,1,8.284569,0.008345,0.000000,0.031948,7.624149,1,0
2,100.404501,6.597042,85.489750,85.341930,80.660343,0.010252,0.024796,1,8.218765,0.008583,0.000000,0.032663,7.546663,1,0
3,100.376606,6.639957,85.300922,85.158110,80.786943,0.010252,0.024319,1,8.389235,0.008106,0.000000,0.032902,7.735729,1,0
4,91.486454,6.677389,76.516151,76.144695,71.732998,0.010490,0.027895,1,8.241415,0.008583,0.000000,0.032663,7.639647,1,0
5,93.727350,7.262230,78.081846,77.934980,73.226929,0.009775,0.066757,1,8.292198,0.008583,0.000000,0.032425,7.629633,1,0
6,93.197346,6.711245,78.116894,77.892542,73.688984,0.009775,0.030041,1,8.314848,0.008345,0.000000,0.031471,7.692337,1,0
7,92.308521,6.825686,77.008963,76.871157,72.056293,0.009537,0.032187,1,8.417130,0.008106,0.000000,0.033140,7.740498,1,0
8,93.096018,6.296396,78.296185,78.064919,73.528767,0.009537,0.095844,1,8.382082,0.008583,0.000000,0.032425,7.721424,1,0
9,101.016998,6.375074,86.265087,86.122751,81.395626,0.009537,0.039577,1,8.310795,0.008345,0.000000,0.031948,7.646561,1,0
10,75.927258,7.758856,58.954477,58.814287,53.899288,0.009298,0.041723,1,9.145498,0.009298,0.000000,0.037909,8.343458,1,0
11,6.469727,6.468058,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
12,6.025314,6.024599,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
13,6.105661,6.104946,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
