There are 5743 rows 
there are 5678 cleaned rules
log_inst_size,time,fast_cex_time,impl_time,check_valid_time,eq_time,make_vc_time,check_sliceable_time,eq_num_z3_calls,model_search_time,model_holes_time,model_cond_time,search_wp_time,model_z3_time,model_z3_calls,num_backtracks
0,85.951805,7.984161,69.195747,69.012642,64.521790,0.009537,0.000000,1,8.751392,0.308514,0.000000,0.032187,7.663250,1,0
1,89.637518,0.000000,89.586735,89.354515,83.571434,0.033140,0.000238,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
2,82.893610,0.000000,82.861662,82.634687,78.241587,0.033140,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
3,83.975554,0.000000,83.963156,83.751678,79.124689,0.011683,0.000238,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
4,77.324152,0.000000,77.311039,77.069283,71.879864,0.012159,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
5,78.335524,0.000000,78.304052,78.008413,73.196650,0.026464,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
6,75.048685,0.000000,75.016499,74.784517,70.282221,0.034094,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
7,73.973656,0.000000,73.960304,73.740482,69.065571,0.012159,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
8,74.185610,0.000000,74.172497,73.945284,68.654299,0.012159,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
9,80.986261,0.000000,80.973148,80.761433,76.167583,0.011444,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
10,55.088520,0.000000,55.056095,54.835558,50.505161,0.031471,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
11,0.248671,0.000000,0.217199,0.030756,0.030756,0.032425,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
12,0.361204,0.000000,0.336647,0.026464,0.026226,0.006676,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
