There are 5743 rows 
there are 5678 cleaned rules
log_inst_size,time,fast_cex_time,impl_time,check_valid_time,eq_time,make_vc_time,check_sliceable_time,eq_num_z3_calls,model_search_time,model_holes_time,model_cond_time,search_wp_time,model_z3_time,model_z3_calls,num_backtracks
0,101.810217,10.559082,69.425821,78.653336,68.050146,0.015259,0.000000,2,12.260199,0.008106,0.000000,0.062704,11.453629,1,0
1,146.043539,7.381439,75.676680,129.585028,120.506525,0.025749,0.000238,2,8.813620,0.008821,0.000000,0.025272,8.138418,1,0
2,154.826403,6.443024,78.060389,139.388323,129.884243,0.071764,0.000000,2,8.645773,0.009298,0.000000,0.027657,8.013725,1,0
3,140.897989,6.949663,70.147514,124.967813,115.341187,0.027895,0.000000,2,8.702755,0.009537,0.000000,0.048399,7.853270,1,0
4,148.495436,6.474257,74.216366,133.513451,123.109102,0.031233,0.000000,2,8.216381,0.009298,0.000000,0.030279,7.601500,1,0
5,141.307592,6.309748,71.317911,126.167059,117.283106,0.031233,0.000000,2,8.433342,0.010967,0.000000,0.032663,7.811308,1,0
6,145.928860,6.266832,70.257187,130.659103,121.335983,0.034094,0.000000,2,8.640528,0.010967,0.000000,0.143290,7.834673,1,0
7,144.084930,6.282330,70.619106,129.168510,120.401382,0.035286,0.000000,2,8.303642,0.011206,0.000000,0.070572,7.624388,1,0
8,147.893190,6.511211,71.566343,132.783175,123.277426,0.036955,0.000238,2,8.278608,0.024557,0.000000,0.037193,7.628441,1,0
9,154.673338,6.906271,71.529150,138.586521,127.948046,0.038862,0.000000,2,8.710861,0.011444,0.000000,0.038385,7.903099,1,0
10,135.118246,7.431746,56.658268,117.213011,107.721567,0.038385,0.000000,2,10.048628,0.013351,0.000000,0.049114,9.307384,1,0
11,6.186485,6.184101,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
12,6.386757,6.385565,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
13,6.924868,6.923914,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
14,7.112265,7.111549,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
15,6.861448,6.860733,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
16,6.362677,6.361723,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
17,6.061077,6.060362,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
