There are 5743 rows 
there are 5678 cleaned rules
log_inst_size,time,fast_cex_time,impl_time,check_valid_time,eq_time,make_vc_time,check_sliceable_time,eq_num_z3_calls,model_search_time,model_holes_time,model_cond_time,search_wp_time,model_z3_time,model_z3_calls,num_backtracks
	edit cache miss
0,89.844227,7.227659,63.827276,72.137117,63.739061,0.015020,0.000000,2,10.209322,0.008345,0.000000,0.047684,9.207249,1,0
1,57.407618,0.000000,57.398319,57.129383,53.054094,0.032187,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
2,56.660891,0.000000,56.627750,56.382656,52.321672,0.035524,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
3,64.822674,0.000000,64.791441,64.543962,59.144258,0.036478,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
4,64.335585,0.000000,64.301729,64.077139,59.184790,0.019789,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
5,60.860872,0.000000,60.849428,60.651302,56.051254,0.020504,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
6,64.236879,0.000000,64.225197,63.979387,59.348583,0.023365,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
7,66.829681,0.000000,66.817522,66.562653,61.841249,0.024319,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
8,64.772129,0.000000,64.760447,64.441204,59.769154,0.025988,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
9,65.556288,0.000000,65.544367,65.310955,60.620070,0.060320,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
10,71.839094,0.000000,71.826935,71.439743,67.044973,0.030994,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
11,73.717117,0.000000,73.705196,73.485613,68.468332,0.031948,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
12,82.372904,0.000000,82.360744,82.134247,77.070713,0.033617,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
13,84.144354,0.000000,84.133387,83.805084,78.626156,0.035048,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
14,79.536676,0.000000,79.525232,78.963041,73.482513,0.057220,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
15,79.648018,0.000000,79.636097,79.300165,74.471474,0.091314,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
16,79.715252,0.000000,79.702854,79.395771,74.909925,0.043631,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
17,86.809158,0.000000,86.797237,86.346149,80.990314,0.045300,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
18,75.826883,0.000000,75.815201,74.159384,68.695068,0.065804,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
19,81.952333,0.000000,81.940651,81.537962,76.478720,0.087023,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
20,80.784321,0.000000,80.773115,80.406189,74.746132,0.069618,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
21,86.867332,0.000000,86.854458,86.534023,81.099272,0.055075,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
22,97.592115,0.000000,97.579956,97.247124,91.607809,0.055313,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
23,91.041565,0.000000,91.029644,90.591908,84.910631,0.058174,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
24,87.941885,0.000000,87.929726,87.463140,81.575632,0.123024,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
