There are 5743 rows 
there are 5678 cleaned rules
log_inst_size,time,fast_cex_time,impl_time,check_valid_time,eq_time,make_vc_time,check_sliceable_time,eq_num_z3_calls,model_search_time,model_holes_time,model_cond_time,search_wp_time,model_z3_time,model_z3_calls,num_backtracks
	edit cache miss
0,84.255934,7.404566,58.274746,66.652060,58.010578,0.036716,0.000000,2,9.821892,0.008583,0.000000,0.046730,9.256601,1,0
1,55.243015,0.000000,55.233240,55.013418,50.932407,0.038147,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
2,54.175615,0.000000,54.131031,53.895235,49.197912,0.033140,0.000238,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
3,54.343700,0.000000,54.331779,54.074049,49.489021,0.013113,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
4,54.211378,0.000000,54.199457,54.071665,49.876690,0.013113,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
5,56.119680,0.000000,56.088686,55.829763,51.269054,0.033379,0.000238,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
6,51.993608,0.000000,51.963568,51.779747,47.409296,0.014067,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
7,53.601742,0.000000,53.528547,53.309679,48.833370,0.052691,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
8,55.825949,0.000000,55.813551,55.614948,51.145077,0.012875,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
9,54.746866,0.000000,54.735184,54.530859,50.002813,0.053167,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
10,54.291010,0.000000,54.245710,54.040909,49.357891,0.032902,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
11,51.669836,0.000000,51.639080,51.413774,47.383070,0.033617,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
12,52.976608,0.000000,52.964211,52.781820,47.936440,0.013828,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
