log_inst_size,time,fast_cex_time,impl_time,check_valid_time,eq_time,make_vc_time,check_sliceable_time,eq_num_z3_calls,model_search_time,model_holes_time,model_cond_time,search_wp_time,model_z3_time,model_z3_calls,num_backtracks
0,79.871655,7.068396,56.016207,63.886166,55.666447,0.041008,0.000238,2,8.404493,0.008583,0.000000,0.048637,7.739544,1,0
1,63.831091,0.000000,63.821077,63.627481,59.429646,0.010490,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
2,63.549042,0.000000,63.538313,63.340664,59.228182,0.014067,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
3,65.123796,0.000000,65.112114,64.915180,60.804605,0.012398,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
4,64.144373,0.000000,64.132452,63.855886,59.680700,0.161171,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
5,63.644886,0.000000,63.614368,63.338518,58.762312,0.033379,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
6,62.656403,0.000000,62.624931,62.410116,58.405161,0.033140,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
7,63.402414,0.000000,63.371181,63.174725,59.019089,0.033617,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
8,63.546658,0.000000,63.535452,63.337326,59.248209,0.013113,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
9,62.522650,0.000000,62.491179,62.280655,58.097363,0.034094,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
10,50.515175,0.000000,50.483704,50.275803,46.435356,0.031948,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
11,0.344992,0.000000,0.314474,0.032425,0.032187,0.033855,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
12,0.209570,0.000000,0.184774,0.055075,0.054836,0.007868,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
13,0.254393,0.000000,0.228882,0.023842,0.023842,0.022173,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
14,0.224352,0.000000,0.199795,0.024557,0.024319,0.007391,0.000238,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
15,0.220537,0.000000,0.196218,0.023603,0.023365,0.007629,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
16,0.300646,0.000000,0.276327,0.040293,0.040054,0.006914,0.000238,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
17,0.195503,0.000000,0.176907,0.023365,0.023365,0.026464,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
18,0.227451,0.000000,0.209093,0.023603,0.023603,0.026703,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
19,0.222445,0.000000,0.217915,0.023842,0.023842,0.020742,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
20,0.229597,0.000000,0.225067,0.058413,0.058174,0.006914,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
21,0.179052,0.000000,0.174522,0.022888,0.022888,0.006676,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
22,0.192642,0.000000,0.188112,0.023127,0.023127,0.006437,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
23,0.177622,0.000000,0.173092,0.023603,0.023603,0.006914,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
24,0.241041,0.000000,0.215769,0.024557,0.024557,0.006914,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
25,0.194788,0.000000,0.169516,0.023127,0.023127,0.006914,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
26,0.184536,0.000000,0.180006,0.023365,0.023365,0.006676,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
27,0.186443,0.000000,0.182152,0.023127,0.022888,0.022411,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
28,0.174761,0.000000,0.156164,0.022888,0.022888,0.006914,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
29,0.205755,0.000000,0.186205,0.037432,0.037432,0.027180,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
30,0.163555,0.000000,0.144958,0.023603,0.023603,0.006199,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
31,0.199080,0.000000,0.194550,0.023127,0.023127,0.035763,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
32,0.188589,0.000000,0.170469,0.022411,0.022411,0.006676,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
33,0.171661,0.000000,0.167370,0.022411,0.022411,0.006437,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
34,0.171423,0.000000,0.167131,0.022888,0.022888,0.006437,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
35,0.152826,0.000000,0.148058,0.022173,0.022173,0.006676,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
36,0.154257,0.000000,0.149727,0.022411,0.022411,0.006676,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
37,0.181913,0.000000,0.163555,0.022173,0.022173,0.006676,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
38,0.157118,0.000000,0.139236,0.023365,0.023365,0.006437,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
39,0.152111,0.000000,0.147104,0.046730,0.046253,0.006914,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
40,0.169277,0.000000,0.164747,0.023842,0.023842,0.006914,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
