there are cleaned rules 1016
log_inst_size,time,fast_cex_time,impl_time,check_valid_time,eq_time,make_vc_time,check_sliceable_time,eq_num_z3_calls,model_search_time,model_holes_time,model_cond_time,search_wp_time,model_z3_time,model_z3_calls,num_backtracks
	edit cache miss
0,41.926861,8.216143,18.668890,25.172949,17.609596,0.013351,0.000000,2,8.383274,0.005722,0.000000,0.015020,7.711411,1,0
1,16.600609,0.000000,16.591787,16.532421,13.019800,0.008345,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
2,17.128944,0.000000,17.100811,16.952276,13.507366,0.008583,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
3,18.136024,0.000000,18.128395,18.066406,14.116287,0.008345,0.000238,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
4,17.409801,0.000000,17.401218,17.280817,13.327360,0.009060,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
5,18.113375,0.000000,18.104315,18.038988,13.655901,0.008106,0.000238,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
6,17.928362,0.000000,17.903090,17.806530,13.794661,0.027418,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
7,17.632484,0.000000,17.623186,17.515659,13.912678,0.009775,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
8,16.925812,0.000000,16.918421,16.855240,13.233662,0.008106,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
9,17.404556,0.000000,17.397165,17.295837,13.566971,0.009060,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
10,17.987728,0.000000,17.979860,17.904758,13.906956,0.021219,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
11,16.863585,0.000000,16.855955,16.792059,13.345957,0.008583,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
12,18.017769,0.000000,18.009424,17.949104,13.711452,0.008106,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
13,16.788244,0.000000,16.780376,16.704798,13.185501,0.008583,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
14,17.486572,0.000000,17.479420,17.412186,13.842344,0.008106,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
15,17.507792,0.000000,17.499208,17.434835,13.572693,0.009298,0.000238,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
